trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1549,False,"{'a': 0.2, 'e': 0.21246032795994024}",30,21,16.212880204034708,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1550,False,"{'a': 0.2, 'e': 0.21224797382674304}",20,9,20.535843748601543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.2, 'e': 0.2120358319415374}",25,18,1.7123984605529678,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1552,False,"{'a': 0.2, 'e': 0.21182390209218135}",20,12,16.450368673829498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1553,False,"{'a': 0.2, 'e': 0.2116121840667451}",25,18,-10.51535020438959,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1554,False,"{'a': 0.2, 'e': 0.21140067765351048}",30,20,5.7053912766796175,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1555,False,"{'a': 0.2, 'e': 0.21118938264097117}",20,13,13.996378808574237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1556,False,"{'a': 0.2, 'e': 0.21097829881783206}",20,10,18.120189168845222,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.2, 'e': 0.2107674259730094}",30,21,16.961894222017175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1558,False,"{'a': 0.2, 'e': 0.21055676389563024}",30,16,8.174769552235285,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1559,False,"{'a': 0.2, 'e': 0.21034631237503254}",30,10,37.29030781169701,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1560,False,"{'a': 0.2, 'e': 0.21013607120076472}",20,11,14.654028194107777,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.2, 'e': 0.20992604016258565}",25,9,-20.333693032439918,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
1562,False,"{'a': 0.2, 'e': 0.2097162190504642}",20,10,12.75584539540881,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1563,False,"{'a': 0.2, 'e': 0.20950660765457932}",25,4,-7.7183860118965235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
